Metric,FFNN Custom,sklearn MLP,Difference
Train Accuracy,0.7613333333333333,0.7728333333333334,-0.011500000000000066
Val Accuracy,0.738,0.7445,-0.006500000000000061
Test Accuracy,0.763,0.7635,-0.0004999999999999449
Precision,0.7825112107623319,0.7717157214644652,0.010795489297866667
Recall,0.8512195121951219,0.8739837398373984,-0.02276422764227648
F1-Score,0.8154205607476637,0.819672131147541,-0.004251570399877336
