epoch,train_loss,val_loss,learning_rate
1,3.063216224052762,2.054401259147981,0.0005
2,1.7661373140594196,1.4576495176257762,0.0005
3,1.2374294935797352,1.1950496133085584,0.0005
4,0.9589480326357415,0.8979760556197118,0.0005
5,0.7971942347723658,0.7635842750468396,0.0005
6,0.689651403493902,0.7136045171287948,0.0005
7,0.6443999692600362,0.6460584681229564,0.0005
8,0.5974905493157203,0.6081274034296504,0.0005
9,0.5726467796324684,0.5926565653872914,0.0005
10,0.5559043768133166,0.5802990235997834,0.0005
11,0.5459502977701612,0.5636302596078288,0.0005
12,0.5290110701369874,0.5587453812812164,0.0005
13,0.5228116403225422,0.5436513095335342,0.0005
14,0.5112002910418,0.5406062360982112,0.0005
15,0.5099747548546966,0.5482117363670052,0.0005
16,0.5072323867838892,0.5420747046336835,0.0005
17,0.5037782476747279,0.5340198638563267,0.0005
18,0.5036550215211518,0.5261832719599466,0.0005
19,0.49925084095295014,0.5300894227260425,0.0005
20,0.5005478515910927,0.5354658005476032,0.0005
21,0.49135655242204673,0.5276492566826384,0.0005
22,0.4927297347068878,0.5134553900240264,0.0005
23,0.4915028578121961,0.5165703556842955,0.0005
24,0.49176984151875763,0.5224899061584131,0.0005
25,0.49114540396492984,0.5164931800443773,0.0005
26,0.48640301451542056,0.5216072462753366,0.0005
27,0.4863427114194211,0.5150035120215656,0.0005
