epoch,train_loss,val_loss,learning_rate
1,0.6484738550232527,0.6263837566868459,0.005
2,0.6105843102386115,0.5977917697980147,0.005
3,0.5867105059351879,0.5836928197076118,0.005
4,0.5667872564237322,0.5756312973907722,0.005
5,0.5572714717701273,0.5745254266009552,0.005
6,0.555013261078866,0.5638296156684571,0.0025
7,0.548713829957158,0.561300181507664,0.0025
8,0.5393083175559962,0.5598490615446274,0.0025
9,0.5415730968890011,0.5649945136928789,0.0025
10,0.5366659516106759,0.552359915559389,0.0025
