epoch,train_loss,val_loss,learning_rate
1,3.471080172471099,2.67701703283872,0.0005
2,2.216770559233963,1.941065142414899,0.0005
3,1.6033862025243013,1.5652018975542485,0.0005
4,1.2822656401062267,1.2094855608280919,0.0005
5,1.0175363766893366,0.9082294444345773,0.0005
6,0.8224147894347426,0.7953530176012312,0.0005
7,0.6980002062302969,0.7432466261855036,0.0005
8,0.6593678149581635,0.6608087130630618,0.0005
9,0.6081013729783951,0.6366641702464417,0.0005
10,0.5799798458416444,0.5923569493339605,0.0005
11,0.5578101243715163,0.5818924217878159,0.0005
12,0.541982564025718,0.5671822915248851,0.0005
13,0.5299174947217022,0.5480004416505058,0.0005
14,0.5226772019515847,0.558790982693898,0.0005
15,0.5201834347097035,0.5486388462834568,0.0005
16,0.5138673795778609,0.5316687682710305,0.0005
17,0.5058997269692423,0.5362007873432826,0.0005
18,0.5070063807954115,0.5328227943037834,0.0005
19,0.4990044155714983,0.5333533442897642,0.0005
20,0.5044960505974426,0.5270831651633225,0.0005
21,0.49585744657651004,0.5276028309057484,0.0005
22,0.49754049235396264,0.5303746339280938,0.0005
23,0.49317354314802103,0.5218150452955262,0.0005
24,0.4946776232363457,0.5245478130468475,0.0005
25,0.4905091972368327,0.5176613285072845,0.0005
26,0.49028671293620824,0.5218901536548322,0.0005
27,0.4910224667671627,0.5242807737390566,0.0005
28,0.48985067968640755,0.5203052402556381,0.0005
29,0.48546319182832776,0.5170708532762424,0.0005
30,0.48918376096759725,0.5182192983678445,0.0005
31,0.4874847383083597,0.5220004967366212,0.0005
32,0.48453486476489704,0.5208840231376255,0.0005
33,0.48578824387125563,0.5211426079679231,0.0005
34,0.4860161995049135,0.5193502327539357,0.0005
