epoch,train_loss,val_loss
1,0.6624506994548727,0.2833954224958483
2,0.6524357784366304,0.2755641180076811
3,0.6651345108275903,0.2723021412461777
4,0.6725797246217758,0.27054098488349804
5,0.6769499344009232,0.2694542849697029
6,0.6801655583569217,0.26873814804734697
7,0.682542705418937,0.2682511336307546
8,0.6846874290884606,0.2680455897742029
9,0.686796694347781,0.2678844081904774
10,0.6882584216727126,0.2678808909853751
11,0.6897458516826008,0.2679700014870526
12,0.6911889354895996,0.26811956505598367
13,0.6928259209166775,0.2684272267410411
14,0.6943672039417618,0.2688809616655938
15,0.6958346374728601,0.2693434093527651
16,0.6972871346229591,0.2697991678775092
17,0.6989541596635598,0.2701756463211249
18,0.7004348404683904,0.2706190907797683
19,0.7022485847408121,0.2711319070669333
20,0.7043588366118602,0.2715838772501657
21,0.7061999102312153,0.27211577567586415
22,0.7085257331860095,0.27273570693366644
23,0.7110903696906827,0.2734523036645505
24,0.7133777640087866,0.27408556156134517
25,0.7157327405979554,0.2747227553707312
26,0.7178094353945803,0.2754703786045129
27,0.7199781547087106,0.2761143040424822
28,0.7223623573869616,0.276776972523651
29,0.7249997149133653,0.27749822188621626
30,0.7275176063436284,0.27803778850055677
31,0.7301680048270752,0.27881766393165675
32,0.7324309615274014,0.27960389073286923
33,0.7352057681928736,0.28041893920571354
34,0.7382231930714082,0.28119002090726225
35,0.7409199694777076,0.2822139455555116
36,0.7439754495062388,0.28315141252416204
37,0.7469842444490742,0.28406667025725596
38,0.749664513892573,0.28508122656033097
39,0.7529496940794114,0.28619156219695435
40,0.7564707215795445,0.2872246608018536
41,0.7600003278569705,0.2884036384071717
42,0.7633451528919373,0.28935398393078254
43,0.7667978278131239,0.29044352187935973
44,0.7703101636115458,0.29148131231202395
45,0.7741132159837869,0.2927685013406415
46,0.7781266422605783,0.29405282208633043
47,0.7816276255638878,0.2950262376520571
48,0.7860020656785025,0.2963609613677667
49,0.7899008544500181,0.2975497626832681
50,0.7939501935379427,0.2988074301455259
51,0.7979288852884833,0.29987906328239544
52,0.8021452225136046,0.3012421963854587
53,0.8059336895340777,0.3025456627171667
54,0.8099828411797318,0.3038910906664439
55,0.8144750966888704,0.30534926486854924
56,0.8180622128686389,0.3066569260452867
57,0.822280979959338,0.3078164117154364
58,0.8268472339843124,0.3095274780608301
59,0.8301735871130556,0.31085916976213684
60,0.8343507773207438,0.31207906168214
61,0.8383591144636964,0.3135257572829131
62,0.8415087040243626,0.3148889147723332
63,0.8455134410241444,0.3162647958197559
64,0.8496927787497525,0.3176088256298741
65,0.8537651754325388,0.3192593407941316
66,0.8584147336295961,0.32072890804535625
67,0.8619680033743321,0.32214563123810486
68,0.8658000052531374,0.32366388453887734
69,0.8697095188710021,0.3248155957565983
70,0.8739227299785431,0.32613686195155345
71,0.8772970263684694,0.32736951324415714
72,0.8811328163277204,0.3283031119138642
73,0.8850258458604549,0.32946646173621913
74,0.888055728906855,0.3307289738953372
75,0.8911616949209695,0.33242206515479744
76,0.8960719098973119,0.3333217908872887
77,0.8990127655482453,0.33422171912797266
78,0.9024675291752782,0.33513192875840997
79,0.9053310064526771,0.3362208045145905
80,0.9094473279970237,0.33711812594218
81,0.9133629706708241,0.3387555280596711
82,0.9172938882085425,0.33980871300871124
83,0.9198317327369766,0.3408138926395956
84,0.9244348281109853,0.34200710220524183
85,0.9281926543495567,0.3434867032249143
86,0.930779354614945,0.34465347651559036
87,0.9337971833523191,0.3458812122447701
88,0.9381433175642658,0.346993380516453
89,0.9420871613188581,0.3481796452387106
90,0.9456547109613693,0.34970554286868505
91,0.9480261010235468,0.351212298248538
92,0.9534502229130967,0.3534581767335876
93,0.9572834551704571,0.35501615639421674
94,0.9620935807223256,0.3562374646236146
95,0.9647332466240208,0.3575142739277327
96,0.9697894276714271,0.35953772570590264
97,0.9727392216050827,0.3614398149087912
98,0.9779855306818207,0.3619320079407672
99,0.9806020568042195,0.3640346691922703
100,0.9850045166108699,0.36481259898240004
